[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbelb.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Comic Sans MS' (comicz.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Yu Gothic' (YuGothR.ttc) normal normal regular normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Lucida Console' (lucon.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Leelawadee UI' (LeelawUI.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'MV Boli' (mvboli.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Nirmala UI' (NirmalaS.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Franklin Gothic Medium' (framd.ttf) normal normal medium normal>) = 10.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI' (segoeuii.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'HoloLens MDL2 Assets' (holomdl2.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Tahoma' (tahoma.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Sitka Small' (SitkaB.ttc) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Myanmar Text' (mmrtext.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'MingLiU-ExtB' (mingliub.ttc) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Sitka Small' (SitkaI.ttc) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Malgun Gothic' (malgunbd.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft Himalaya' (himalaya.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Malgun Gothic' (malgun.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Courier New' (cour.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Cambria' (cambriai.ttf) italic normal 400 normal>) = 11.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft Sans Serif' (micross.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Ink Free' (Inkfree.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft Tai Le' (taile.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'SimHei' (simhei.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Impact' (impact.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Consolas' (consolab.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'KaiTi' (simkai.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft New Tai Lue' (ntailub.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Ebrima' (ebrima.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft YaHei' (msyh.ttc) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Webdings' (webdings.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Sitka Small' (Sitka.ttc) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Yu Gothic' (YuGothB.ttc) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Constantia' (constanb.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbelz.ttf) italic normal bold normal>) = 11.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Nirmala UI' (Nirmala.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbelli.ttf) italic normal light normal>) = 11.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Verdana' (verdanai.ttf) italic normal 400 normal>) = 4.6863636363636365
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Javanese Text' (javatext.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Palatino Linotype' (pala.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Nirmala UI' (NirmalaB.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Microsoft YaHei' (msyhbd.ttc) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Comic Sans MS' (comic.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Franklin Gothic Medium' (framdit.ttf) italic normal medium normal>) = 11.145
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Segoe UI Historic' (seguihis.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Calibri' (calibril.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Arial' (arialbd.ttf) normal normal bold normal>) = 6.698636363636363
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Corbel' (corbell.ttf) normal normal light normal>) = 10.24
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Leelawadee UI' (LeelaUIb.ttf) normal normal bold normal>) = 10.335
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Trebuchet MS' (trebuc.ttf) normal normal 400 normal>) = 10.05
[2020-05-27 09:17:05][DEBUG]  findfont: score(<Font 'Cambria' (cambria.ttc) normal normal 400 normal>) = 10.05
